,name,split1,points,points_2,points_3,points_4,points_t,points_t_rank,rank,rank_t,split1_2,split1_3,split1_4,split1_sector,split1_sector_t,split1_sector_t_rank,split1_sector_t_vs_best,split1_t,split1_t_rank,split1_t_vs_best,split2,split2_2,split2_3,split2_4,split2_sector,split2_sector_2,split2_sector_3,split2_sector_4,split2_sector_t,split2_sector_t_rank,split2_sector_t_vs_best,split2_t,split2_t_rank,split2_t_vs_best,split3,split3_2,split3_3,split3_4,split3_sector,split3_sector_2,split3_sector_3,split3_sector_4,split3_sector_t,split3_sector_t_rank,split3_sector_t_vs_best,split3_t,split3_t_rank,split3_t_vs_best,split4,split4_2,split4_3,split4_4,split4_sector,split4_sector_2,split4_sector_3,split4_sector_4,split4_sector_t,split4_sector_t_rank,split4_sector_t_vs_best,split4_t,split4_t_rank,split4_t_vs_best,split5,split5_2,split5_3,split5_4,split5_sector,split5_sector_2,split5_sector_3,split5_sector_4,split5_sector_t,split5_sector_t_rank,split5_sector_t_vs_best,split5_t,split5_t_rank,split5_t_vs_best
0,PERFECT Run,22.847,1000,1000,1000,1000,4000.0,1.0,1.0,1.0,64.814,51.093,62.457,201.21099999999998,201.21099999999998,1.0,0.0,201.21099999999998,1.0,0.0,60.224,211.338,92.842,139.384,36.752,146.524,41.257,76.848,301.38100000000003,1.0,0.0,503.788,1.0,0.0,92.252,240.134,135.011,180.25,32.028,28.796,42.169,39.475,142.468,1.0,0.0,647.647,1.0,0.0,135.352,281.291,185.509,229.674,42.971,41.123,49.997,48.542,182.63299999999998,1.0,0.0,831.826,1.0,0.0,160.706,310.96,221.141,266.424,24.788,29.669,34.414,34.83,123.701,1.0,0.0,959.231,1.0,0.0
1,ATHERTON Rachel,22.846999999999998,210.0,190.0,200.0,176.0,776.0,2.0,2.0,2.0,65.12,51.093,62.457,201.517,201.517,2.0,0.3060000000000116,201.517,2.0,0.3060000000000116,61.748000000000005,218.27599999999998,92.84200000000001,139.384,38.901,153.156,41.749,76.92699999999998,310.733,2.0,9.351999999999975,512.25,2.0,8.461999999999989,95.397,247.81099999999998,135.011,180.25,33.64900000000001,29.535,42.169,40.866000000000014,146.21900000000002,2.0,3.751000000000033,658.4689999999999,2.0,10.821999999999889,139.415,289.281,186.012,229.674,44.017999999999994,41.47,51.00100000000001,49.42400000000001,185.913,2.0,3.2800000000000296,844.3820000000001,2.0,12.55600000000004,164.265,320.01599999999996,221.141,266.547,24.849999999999994,30.73500000000001,35.12899999999999,36.873000000000026,127.58700000000002,3.0,3.886000000000024,971.9689999999999,2.0,12.737999999999943
2,SEAGRAVE Tahnee,22.901999999999997,156.0,230.0,50.0,240.0,676.0,3.0,10.0,10.0,64.814,,63.486000000000004,1151.202,1151.202,10.0,949.991,1151.202,10.0,949.991,61.248000000000005,211.338,,140.565,38.346,146.524,,77.07900000000002,1261.9489999999998,10.0,960.5679999999998,1413.151,10.0,909.363,95.686,240.13400000000001,,182.34900000000002,34.43800000000001,28.79599999999999,,41.78399999999999,1105.018,10.0,962.5500000000001,1518.169,10.0,870.522,139.696,281.291,,231.24200000000002,44.00999999999999,41.15700000000001,,48.893,1134.06,9.0,951.4269999999999,1652.229,10.0,820.403,164.484,310.96,,266.42400000000004,24.78800000000001,29.668999999999986,,35.18199999999999,1089.639,9.0,965.9379999999999,1741.868,10.0,782.637
3,NICOLE Myriam,23.471999999999998,230.0,200.0,180.0,0.0,610.0,4.0,9.0,9.0,65.404,51.993,,1140.869,1140.869,9.0,939.6579999999999,1140.869,9.0,939.6579999999999,60.224,216.908,93.25,,36.752,151.504,41.257,,1229.513,9.0,928.1319999999998,1370.382,9.0,866.594,92.25200000000001,247.122,135.512,,32.028,30.214000000000034,42.262,,1104.5040000000001,9.0,962.0360000000002,1474.886,9.0,827.2389999999999,135.352,288.983,185.50900000000001,,43.10000000000001,41.86099999999999,49.99699999999999,,1134.958,10.0,952.325,1609.844,9.0,778.018,160.70600000000002,319.211,221.77900000000002,,25.353999999999985,30.22800000000001,36.27000000000001,,1091.852,10.0,968.1510000000001,1701.696,9.0,742.4649999999999
4,HANNAH Tracey,23.703000000000003,95.0,135.0,180.0,150.0,560.0,5.0,3.0,3.0,69.64,52.512,65.874,211.729,211.729,3.0,10.518000000000029,211.729,3.0,10.518000000000029,63.028999999999996,221.078,94.542,144.738,39.32600000000001,151.438,42.03,78.86399999999999,311.658,3.0,10.276999999999987,523.387,3.0,19.598999999999933,97.07700000000001,251.78400000000002,137.55,185.3,34.047999999999995,30.70599999999999,43.00800000000001,40.56200000000001,148.324,4.0,5.856000000000023,671.711,3.0,24.063999999999965,153.333,292.907,190.704,234.888,56.256,41.12299999999999,53.154,49.588,200.12099999999998,6.0,17.488,871.832,3.0,40.00599999999997,178.898,322.744,225.118,269.718,25.565,29.837000000000053,34.41399999999999,34.83000000000001,124.64600000000006,2.0,0.9450000000000642,996.4780000000001,3.0,37.24700000000007
5,HRASTNIK Monika,25.733,107.0,49.0,150.0,190.0,496.0,6.0,4.0,4.0,70.92399999999999,55.303000000000004,67.47800000000001,219.43800000000002,219.43800000000002,7.0,18.227000000000032,219.43800000000002,7.0,18.227000000000032,67.321,228.648,99.647,144.326,41.588,157.724,44.34400000000001,76.848,320.504,5.0,19.12299999999999,539.942,6.0,36.153999999999996,101.54,259.526,142.596,183.801,34.21900000000001,30.87800000000001,42.949,39.475,147.52100000000002,3.0,5.053000000000026,687.463,5.0,39.81599999999992,147.683,301.992,194.21400000000003,232.343,46.142999999999994,42.46600000000001,51.618,48.542,188.769,3.0,6.136000000000024,876.232,4.0,44.40599999999995,173.635,334.228,229.597,268.029,25.952,32.23599999999999,35.38300000000001,35.68600000000001,129.257,4.0,5.556000000000012,1005.489,4.0,46.25800000000004
6,SIEGENTHALER Emilie,24.839000000000002,94.0,82.0,140.0,110.0,426.0,7.0,6.0,6.0,69.00399999999999,54.994,68.20100000000001,217.038,217.038,4.0,15.827000000000027,217.038,4.0,15.827000000000027,70.361,221.47299999999998,98.833,147.534,45.52200000000001,152.469,43.839,79.333,321.163,6.0,19.781999999999982,538.201,5.0,34.41300000000001,106.006,252.675,143.45,188.947,35.645,31.202,44.61699999999999,41.41300000000001,152.877,5.0,10.40900000000002,691.078,6.0,43.430999999999926,151.454,295.47,195.31099999999998,239.247,45.44800000000001,42.795000000000016,51.86100000000002,50.30000000000001,190.40400000000005,4.0,7.771000000000072,881.482,6.0,49.65599999999995,177.593,326.60400000000004,232.78,276.698,26.13899999999998,31.13399999999996,37.469,37.450999999999965,132.1929999999999,7.0,8.491999999999905,1013.675,6.0,54.44399999999996
7,CABIROU Marine,24.295,150.0,141.0,45.0,65.0,401.0,8.0,5.0,5.0,68.834,58.361000000000004,67.545,219.03500000000003,219.03500000000003,6.0,17.82400000000004,219.03500000000003,6.0,17.82400000000004,63.483999999999995,219.14700000000002,104.181,145.561,39.189,150.313,45.82,78.016,313.33799999999997,4.0,11.956999999999937,532.373,4.0,28.585000000000036,97.391,249.423,147.22,192.22,33.907000000000004,30.27600000000001,43.038999999999994,46.65899999999999,153.881,6.0,11.413000000000011,686.254,4.0,38.60699999999997,140.362,291.659,201.998,243.324,42.97099999999999,42.23599999999999,54.77799999999999,51.104000000000006,191.08899999999997,5.0,8.455999999999989,877.3430000000001,5.0,45.51700000000005,165.935,321.782,240.655,280.823,25.57300000000001,30.12299999999999,38.65700000000001,37.49899999999997,131.85199999999998,5.0,8.150999999999982,1009.1949999999999,5.0,49.96399999999994
8,CURD Katy,25.08,80.0,80.0,90.0,39.0,289.0,9.0,8.0,8.0,68.445,55.653,70.374,219.552,219.552,8.0,18.341000000000008,219.552,8.0,18.341000000000008,67.73100000000001,222.227,100.184,153.625,42.651,153.782,44.531000000000006,83.251,324.21500000000003,7.0,22.834000000000003,543.767,7.0,39.97900000000004,104.743,252.625,143.485,200.36599999999999,37.012,30.398,43.301000000000016,46.74100000000002,157.45200000000003,8.0,14.984000000000037,701.219,7.0,53.572,152.632,295.056,197.396,257.978,47.88900000000001,42.430999999999976,53.91099999999997,57.612,201.84299999999996,8.0,19.20999999999998,903.0619999999999,8.0,71.23599999999988,177.84900000000002,325.459,236.15400000000002,299.116,25.216999999999985,30.40300000000002,38.75800000000001,41.13799999999998,135.516,8.0,11.814999999999998,1038.578,8.0,79.34699999999998
9,SALAZAR Mariana,24.796,65.0,65.0,47.0,75.0,252.0,10.0,7.0,7.0,69.152,54.735,68.79,217.473,217.473,5.0,16.26200000000003,217.473,5.0,16.26200000000003,69.34899999999999,221.653,104.79700000000001,150.213,44.553,152.50099999999995,50.062,81.42299999999999,328.53899999999993,8.0,27.1579999999999,546.012,8.0,42.22399999999993,105.95100000000001,253.74099999999999,149.821,191.946,36.60199999999999,32.08800000000002,45.023999999999994,41.733,155.447,7.0,12.979000000000013,701.4590000000001,8.0,53.81200000000001,152.711,296.97700000000003,206.705,246.081,46.76000000000002,43.23599999999996,56.88400000000002,54.13499999999999,201.015,7.0,18.382000000000005,902.474,7.0,70.64800000000002,178.09599999999998,328.30699999999996,243.56,284.517,25.38499999999999,31.330000000000037,36.85499999999999,38.43600000000001,132.00600000000003,6.0,8.305000000000035,1034.48,7.0,75.24900000000002
10,MILLER Miranda,23.732,45.0,15.0,0.0,0.0,60.0,11.0,11.0,11.0,70.044,,,2093.776,2093.776,11.0,1892.5649999999998,2093.776,11.0,1892.5649999999998,68.13600000000001,233.287,,,44.404,163.243,,,2207.647,11.0,1906.2659999999998,2301.423,11.0,1797.6349999999998,105.18700000000001,265.325,,,37.051,32.03799999999998,,,2069.089,11.0,1926.6209999999999,2370.5119999999997,11.0,1722.8649999999998,152.908,308.498,,,47.72099999999999,43.173,,,2090.8940000000002,11.0,1908.2610000000002,2461.406,11.0,1629.58,179.38400000000001,338.76099999999997,,,26.476,30.263000000000034,,,2056.739,11.0,1933.038,2518.145,11.0,1558.914
